id,views,likes,shares,duration,description,url
tWQt951J6ew,330,7,N/A,39,,https://www.youtube.com/shorts/tWQt951J6ew
gUJ2YsjmzhM,462,6,N/A,44,kiss me :3,https://www.youtube.com/shorts/gUJ2YsjmzhM
o8u4W-PcoZ8,449,10,N/A,35,this was the first round for us,https://www.youtube.com/shorts/o8u4W-PcoZ8
mb47_F9DWOE,38,2,N/A,27,awp 4 kills,https://www.youtube.com/shorts/mb47_F9DWOE
y1wWyUg-rnA,48,6,N/A,43,"I hope you all enjoyed this video. Don't forget to Comment, Like, And Subscribe, For more uploads/ short form streams!---------------------------------------...",https://www.youtube.com/shorts/y1wWyUg-rnA
HE_7U3jwjB8,67,7,N/A,28,"I hope you all enjoyed this video. Don't forget to Comment, Like, And Subscribe, For more uploads/ short form streams!---------------------------------------...",https://www.youtube.com/shorts/HE_7U3jwjB8
F6NH4-ZRIow,64,2,N/A,36,,https://www.youtube.com/shorts/F6NH4-ZRIow
HdNXWTUdf8I,14,3,N/A,20,,https://www.youtube.com/shorts/HdNXWTUdf8I
IIBlcvdcTb0,30,3,N/A,40,ACE with AUG Gun in Anubis map #democs2 #anubis  #csgo #cs2 #counterstrike #gaming #shorts,https://www.youtube.com/shorts/IIBlcvdcTb0
TLa1XXP2fH0,456,6,N/A,32,,https://www.youtube.com/shorts/TLa1XXP2fH0
3ckop2c_46M,65,3,N/A,19,,https://www.youtube.com/shorts/3ckop2c_46M
G9yB63lgsbU,422,4,N/A,32,,https://www.youtube.com/shorts/G9yB63lgsbU
DSwyHnheoVc,30,4,N/A,21,,https://www.youtube.com/shorts/DSwyHnheoVc
34bxRciYxUw,127,7,N/A,34,,https://www.youtube.com/shorts/34bxRciYxUw
lpE38p9zA8Y,162,2,N/A,18,Join this channel to get access to perks:https://www.youtube.com/channel/UClsM8gWmeXicOMKAlmmy7qA/join#CSGO #shadowbanned #banned #foryoupage #pcgaming #vira...,https://www.youtube.com/shorts/lpE38p9zA8Y
EJCFtMUpi3g,88,N/A,N/A,16,Join this channel to get access to perks:https://www.youtube.com/channel/UClsM8gWmeXicOMKAlmmy7qA/join#CSGO #shadowbanned #banned #foryoupage #pcgaming #vira...,https://www.youtube.com/shorts/EJCFtMUpi3g
UEx8GV7F8q4,469,5,N/A,10,#CSGO #shadowbanned #banned #foryoupage #pcgaming #viral #foryo #trending #tiktok #fypシ #gaming #fyp #csgovideos #csgofunny #csgo #hashtag #thickestboii #csg...,https://www.youtube.com/shorts/UEx8GV7F8q4
F8oKN4rgx_I,12,2,N/A,7,"Привееееет! Уже прошёл месяц лета, а я поздравил вас только сейчас) Всё дело в том что материал местами с начала июня, а какой то свежий. Надеюсь вам понрави...",https://www.youtube.com/shorts/F8oKN4rgx_I
XHRiitPwJ48,38,6,N/A,58,CSGOCASES - https://csgocases.com/r/VESPAuse o cupon - [ VESPA ]#csgovine  #shortpants #csgonet #shortshorts #gaming #cs1 #keydrop #csmoney #counterstrike2 #...,https://www.youtube.com/shorts/XHRiitPwJ48
ClmXjIOWy78,453,29,N/A,59,#cs #csgo #csgovine #shortpants#cs2 #memes #csgonet #shortshorts #counterstrike #counterstrike2,https://www.youtube.com/shorts/ClmXjIOWy78
16fZgXpNdao,14,N/A,N/A,60,#fallen #csbrasil #shortvideo #csk #css #counterstrike #csgobr #csclipes,https://www.youtube.com/shorts/16fZgXpNdao
SDF7Cf7UGm8,45,2,N/A,33,A clip from a Once Human stream at Twitch.TV/iHazNub6 please follow me on twitch and subscribe to my youtube to help me reach my goal of 50 followers and 500...,https://www.youtube.com/shorts/SDF7Cf7UGm8
tKIHiaHYDtg,76,6,N/A,30,,https://www.youtube.com/shorts/tKIHiaHYDtg
lBgGNhIV93U,72,3,N/A,34,,https://www.youtube.com/shorts/lBgGNhIV93U
4s4QrKPmjgk,210,8,N/A,25,,https://www.youtube.com/shorts/4s4QrKPmjgk
ZkonsCVSILU,139,4,N/A,29,,https://www.youtube.com/shorts/ZkonsCVSILU
ucQn23mtMCw,1817,181,N/A,40,,https://www.youtube.com/shorts/ucQn23mtMCw
sfTE5csBW3k,1972,236,N/A,43,,https://www.youtube.com/shorts/sfTE5csBW3k
asdVQz0u6yE,6852,572,N/A,41,,https://www.youtube.com/shorts/asdVQz0u6yE
hpK8ts2JzeQ,168,2,N/A,21,"Chamber 4k with some minor whiffs on Harbor In ValorantHey viewers I'm sonLucky, I post Valorant content of myself and my friends or other valorant/gaming re...",https://www.youtube.com/shorts/hpK8ts2JzeQ
rzm4wFSG6K0,28,2,N/A,11,Check out my tiktok (@quixkie69) or my channel for more content like this!,https://www.youtube.com/shorts/rzm4wFSG6K0
IgFqtDhXzEk,971,31,N/A,12,Check out my tiktok (@quixkie69) or my channel for more content like this!,https://www.youtube.com/shorts/IgFqtDhXzEk
ShbysCaH2RI,51,2,N/A,9,Check out my tiktok (@quixkie69) or my channel for more content like this!,https://www.youtube.com/shorts/ShbysCaH2RI
my7aVqaBfBU,457,9,N/A,54,Check out my tiktok (@quixkie69) or my channel for more content like this!,https://www.youtube.com/shorts/my7aVqaBfBU
vvmattsTDDM,7,2,N/A,19,"Another Breach 4k In ValorantHey viewers I'm sonLucky, I post Valorant content of myself and my friends or other valorant/gaming related things. These Valora...",https://www.youtube.com/shorts/vvmattsTDDM
ypnpLSRdGos,77,3,N/A,14,"KillJoy 4k Lotus In ValorantHey viewers I'm sonLucky, I post Valorant content of myself and my friends or other valorant/gaming related things. These Valoran...",https://www.youtube.com/shorts/ypnpLSRdGos
zBL_vgd1caA,421,N/A,N/A,18,"Raze Ace Ascent In ValorantHey viewers I'm sonLucky, I post Valorant content of myself and my friends or other valorant/gaming related things. These Valorant...",https://www.youtube.com/shorts/zBL_vgd1caA
W3kTKNcdHGU,34,4,N/A,6,"Sheriff Jumping Headshot In ValorantHey viewers I'm sonLucky, I post Valorant content of myself and my friends or other valorant/gaming related things. These...",https://www.youtube.com/shorts/W3kTKNcdHGU
Gf0j8tSqLbA,30,7,N/A,55,#malayalam #rankpush #gaming #valorant3k #valorantclips #valorant #valorantlive #valoranthighlights,https://www.youtube.com/shorts/Gf0j8tSqLbA
UpdI9dlNJHI,137,4,N/A,59,#eldenring #shadowoftheerdtree #malayalam #gaming #bossfight,https://www.youtube.com/shorts/UpdI9dlNJHI
YeHyxUvy7eg,477,9,N/A,6,,https://www.youtube.com/shorts/YeHyxUvy7eg
owrxGHzoUGI,481,8,N/A,13,,https://www.youtube.com/shorts/owrxGHzoUGI
4C6B4UvoYJs,38,2,N/A,40,,https://www.youtube.com/shorts/4C6B4UvoYJs
zM_xWGJi8x4,55,2,N/A,38,,https://www.youtube.com/shorts/zM_xWGJi8x4
OHKhzv0Qeew,7,2,N/A,7,,https://www.youtube.com/shorts/OHKhzv0Qeew
UznVnsoI518,40,7,N/A,47,subscribe to my channel :)....... 🤗#clips #foryou #viral #valorant #shorts,https://www.youtube.com/shorts/UznVnsoI518
fPZK1KeK_Jc,443,10,N/A,55,subscribe to my channel :)....... 🤗#clips #foryou #viral #valorant #shorts,https://www.youtube.com/shorts/fPZK1KeK_Jc
EKqqhxq8Dhc,511,22,N/A,54,subscribe to my channel :)....... 🤗#clips #foryou #viral #valorant #shorts,https://www.youtube.com/shorts/EKqqhxq8Dhc
9DZZb-9GLlE,234,8,N/A,59,subscribe to my channel :)....... 🤗#clips #foryou #viral #valorant #shorts,https://www.youtube.com/shorts/9DZZb-9GLlE
9UgA71dodnQ,93,5,N/A,25,subscribe to my channel :)....... 🤗#foryou #viral #clips #valorant #shorts,https://www.youtube.com/shorts/9UgA71dodnQ
fcD619XZ1XE,1,N/A,N/A,59,"Four enemies eliminated in Valorant, round secured!#shorts #valorant #gaming #valorantclips #johnnyzet666 #yoru  #yoruvalorant #shortvideo #shortclips #gamer...",https://www.youtube.com/shorts/fcD619XZ1XE
RSza_9DdRTQ,256,N/A,N/A,22,Dead is a good look for you!#shorts #valorant #gaming #valorantclips #johnnyzet666 #yoru  #yoruvalorant #shortvideo #shortclips #gamer #gamingvideos #gamings...,https://www.youtube.com/shorts/RSza_9DdRTQ
5IijsoWn58M,49,N/A,N/A,22,"Teleport, blind, aim like a trash... win!#shorts #valorant #gaming #valorantclips #johnnyzet666 #yoru  #yoruvalorant #shortvideo #shortclips #gamer #gamingvi...",https://www.youtube.com/shorts/5IijsoWn58M
FKOYm7hUjW4,88,N/A,N/A,31,Let's run and win the round in Valorant!Have you enjoyed the video? Then watch me live on Twitch http://www.twitch.tv/johnnyzet666🌐 I'm LIVE everyday at (al...,https://www.youtube.com/shorts/FKOYm7hUjW4
qf32RYPDznc,101,4,N/A,30,Valorant Gameplay Valorant highlights Valorant Clips Valorant Plays Valorant Montage Valorant ShortsValorant Duelist Valorant Clutches Valorant Masters Valor...,https://www.youtube.com/shorts/qf32RYPDznc
Ya6k3Eao1g8,6,3,N/A,21,Valorant Gameplay Valorant highlights Valorant Clips Valorant Plays Valorant Montage Valorant ShortsValorant Duelist Valorant Clutches Valorant Masters Valor...,https://www.youtube.com/shorts/Ya6k3Eao1g8
bKnnDUEyc5I,197,2,N/A,22,Valorant Gameplay Valorant highlights Valorant Clips Valorant Plays Valorant Montage Valorant ShortsValorant Duelist Valorant Clutches Valorant Masters Valor...,https://www.youtube.com/shorts/bKnnDUEyc5I
iVj35rvpEHs,268,10,N/A,45,,https://www.youtube.com/shorts/iVj35rvpEHs
YXHYajGkUe8,168,9,N/A,59,#shorts #gaming #1vs4 #malayalam #valorant #clutch #clips #cypher,https://www.youtube.com/shorts/YXHYajGkUe8
X4BgzZA1ECg,370,8,N/A,31,#shorts @valorant#valorant,https://www.youtube.com/shorts/X4BgzZA1ECg
nqpRYeGqz0o,951,8,N/A,39,#13,https://www.youtube.com/shorts/nqpRYeGqz0o
R4k-CsQEcfk,479,3,N/A,55,#9 Fun mod,https://www.youtube.com/shorts/R4k-CsQEcfk
GFy1d_MY1Fg,424,15,N/A,29,,https://www.youtube.com/shorts/GFy1d_MY1Fg
nm2aTgguT1g,92,6,N/A,8,,https://www.youtube.com/shorts/nm2aTgguT1g
4zsgYRS53iU,65,6,N/A,21,,https://www.youtube.com/shorts/4zsgYRS53iU
De-QDi-l06g,462,7,N/A,17,,https://www.youtube.com/shorts/De-QDi-l06g
eDOiglqjvoA,355,7,N/A,24,,https://www.youtube.com/shorts/eDOiglqjvoA
JQioPjIwcsQ,463,8,N/A,7,siuuuuu,https://www.youtube.com/shorts/JQioPjIwcsQ
qb1juMbUPOU,72,4,N/A,24,#gaming #leagueoflegends #funny #poland #warwick #eune #memes,https://www.youtube.com/shorts/qb1juMbUPOU
LdfsXVxPHUY,291,10,N/A,32,"Nie wiem, heal pog opcja",https://www.youtube.com/shorts/LdfsXVxPHUY
8yx4c1WqfBo,104,2,N/A,5,#shorts #cs2 #counterstrike #gyrogaming #gyroaim #flickstick,https://www.youtube.com/shorts/8yx4c1WqfBo
QOkvHum49ds,91,N/A,N/A,38,#shorts #cs2 #counterstrike #gyrogaming #gyroaim #flickstick,https://www.youtube.com/shorts/QOkvHum49ds
ZjK-_kIgDRQ,241,13,N/A,31,Поддержите канал : @csproleagueSupport the channel : @csproleague========================================#cs2memes  #csgo #faceit #counterstrike #esports #cs...,https://www.youtube.com/shorts/ZjK-_kIgDRQ
Y5jJucEj9mk,268,24,N/A,57,Поддержите канал : @csproleagueSupport the channel : @csproleague========================================#cs2memes  #csgo #faceit #counterstrike #esports #cs...,https://www.youtube.com/shorts/Y5jJucEj9mk
umDfxYOvpkw,72,5,N/A,34,Поддержите канал : @csproleagueSupport the channel : @csproleague========================================#cs2memes  #csgo #faceit #counterstrike #esports #cs...,https://www.youtube.com/shorts/umDfxYOvpkw
KKjRKqafPHo,14,2,N/A,29,#shorts #cs2 #counterstrike #gyrogaming #gyroaim #flickstick,https://www.youtube.com/shorts/KKjRKqafPHo
YwiultKK0tU,266,4,N/A,5,#shorts #cs2 #counterstrike #gyrogaming #gyroaim #flickstick,https://www.youtube.com/shorts/YwiultKK0tU
2aNffNMFzAc,677,4,N/A,31,#shorts #cs2 #counterstrike #gyrogaming #gyroaim #flickstick,https://www.youtube.com/shorts/2aNffNMFzAc
bsqyC4gHWlU,300,3,N/A,19,#shorts #cs2 #counterstrike #gyrogaming #gyroaim #flickstick,https://www.youtube.com/shorts/bsqyC4gHWlU
qAsHxuKiQA8,25,3,N/A,8,#shorts #counterstrike #cs2 #gyrogaming #gyroaim #flickstick,https://www.youtube.com/shorts/qAsHxuKiQA8
sA2111FTKO0,580,24,N/A,8,,https://www.youtube.com/shorts/sA2111FTKO0
WoMCiAJl048,535,34,N/A,41,,https://www.youtube.com/shorts/WoMCiAJl048
ZFfgclFUPU4,590,13,N/A,29,,https://www.youtube.com/shorts/ZFfgclFUPU4
_NnsKGritA8,18,N/A,N/A,21,Hello Guys 🙏🏻 Welcome back in my channel Make Sure to hit that live button and subscribe Also Share ❤️IGN - TubeWindAge - 21Device - IPhone 14 Plus or IQOO...,https://www.youtube.com/shorts/_NnsKGritA8
77rJAs73j2A,89,N/A,N/A,38,Hello Guys 🙏🏻 Welcome back in my channel Make Sure to hit that live button and subscribe Also Share ❤️IGN - TubeWindAge - 21Device - IPhone 14 Plus or IQOO...,https://www.youtube.com/shorts/77rJAs73j2A
oxGF9h2iRnw,222,N/A,N/A,29,Hello Guys 🙏🏻 Welcome back in my channel Make Sure to hit that live button and subscribe Also Share ❤️IGN - TubeWindAge - 21Device - IPhone 14 Plus or IQOO...,https://www.youtube.com/shorts/oxGF9h2iRnw
z3RWzNoh6WA,61,N/A,N/A,11,Hello Guys 🙏🏻 Welcome back in my channel Make Sure to hit that live button and subscribe Also Share ❤️IGN - TubeWindAge - 21Device - IPhone 14 Plus or IQOO...,https://www.youtube.com/shorts/z3RWzNoh6WA
rSrnSIPsAVI,472,8,N/A,45,,https://www.youtube.com/shorts/rSrnSIPsAVI
5gesmYUTUhc,585,37,N/A,17,,https://www.youtube.com/shorts/5gesmYUTUhc
iUjuGtuYrbQ,532,12,N/A,35,,https://www.youtube.com/shorts/iUjuGtuYrbQ
pawXLpeoZ1Q,258,N/A,N/A,22,Hello Guys 🙏🏻 Welcome back in my channel Make Sure to hit that live button and subscribe Also Share ❤️IGN - TubeWindAge - 21Device - IQOO Neo 9 ProLocation...,https://www.youtube.com/shorts/pawXLpeoZ1Q
duRlFqXX5sk,108,4,N/A,11,,https://www.youtube.com/shorts/duRlFqXX5sk
uZ4YobthgEA,26,3,N/A,40,,https://www.youtube.com/shorts/uZ4YobthgEA
OBD0CHvM2uk,132,N/A,N/A,9,,https://www.youtube.com/shorts/OBD0CHvM2uk
RTTypp4B7bM,174,5,N/A,11,,https://www.youtube.com/shorts/RTTypp4B7bM
ZX9ePOF0eAY,212,7,N/A,17,,https://www.youtube.com/shorts/ZX9ePOF0eAY
